App Name,Type,Id,Verification Status,Users,Org Unit,Access,Requested Services,Requested Services with Scopes,Ownership
Canva,Web Application,779010036194-lf6spugv22vvj41pqjdj4d8k2tq7o5fd.apps.googleusercontent.com,Verified,16,,Configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
dev.adminlens.io,Web Application,476257776955-t129f3c8h8tgq60g7rp4cmganf4n7dn7.apps.googleusercontent.com,Not verified,7,,Not configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
adminlens.io,Web Application,539614054292-v48fp11ou2nrhh7lb47qgqq4k5d1fd8u.apps.googleusercontent.com,Not verified,6,,Not configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Wayground (formerly Quizizz),Web Application,58172892053-6laet7k6ls3k5va0jija3b175sm3jjms.apps.googleusercontent.com,Verified,4,,Configured,"[Classroom, Drive, GSuite Admin, Google Sign-in]","[Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.student-submissions.students.readonly] | Drive : [https://www.googleapis.com/auth/drive.file] | GSuite Admin : [https://www.googleapis.com/auth/admin.directory.group.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
project-172700529642,Web Application,172700529642-48obmiqhk5joviftkt87d0po0bnbunbu.apps.googleusercontent.com,Not verified,3,,Not configured,"[GSuite Admin, Gmail, Google Sign-in, Other]","[GSuite Admin : [https://www.googleapis.com/auth/admin.directory.group.member.readonly, https://www.googleapis.com/auth/admin.directory.group.readonly, https://www.googleapis.com/auth/admin.directory.orgunit.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly] | Gmail : [https://www.googleapis.com/auth/gmail.settings.basic, https://www.googleapis.com/auth/gmail.settings.sharing] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/user.organization.read, https://www.googleapis.com/auth/user.phonenumbers.read]]",Third party
Gemini for Workspace Studio,Web Application,296758037454-ssrceub8i8moppipckhk61mk8go2kk6t.apps.googleusercontent.com,Verified,3,,Not configured,[],[],Google owned
Chromebook Getter,Web Application,871655740233-iad5enbpe9r7o18h2ajle4vdd51vhflp.apps.googleusercontent.com,Verified,3,,Not configured,"[Apps Script Runtime, Drive, GSuite Admin, Google Sign-in, Other]","[Apps Script Runtime : [https://www.googleapis.com/auth/script.container.ui, https://www.googleapis.com/auth/script.external_request] | Drive : [https://www.googleapis.com/auth/spreadsheets, https://www.googleapis.com/auth/spreadsheets.currentonly] | GSuite Admin : [https://www.googleapis.com/auth/admin.directory.device.chromeos, https://www.googleapis.com/auth/admin.directory.orgunit, https://www.googleapis.com/auth/admin.directory.user] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/chrome.management.telemetry.readonly]]",Third party
Lusha,Web Application,961782772109-gr6rmo3pe7iibrmjifhhar5iu2mjin9r.apps.googleusercontent.com,Verified,3,,Not configured,"[Calendar, Contacts, Gmail, Google Sign-in]","[Calendar : [https://www.googleapis.com/auth/calendar.events] | Contacts : [https://www.googleapis.com/auth/contacts.other.readonly, https://www.googleapis.com/auth/contacts.readonly, https://www.googleapis.com/auth/directory.readonly] | Gmail : [https://www.googleapis.com/auth/gmail.readonly, https://www.googleapis.com/auth/gmail.send] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
GAM Project Creation,Web Application,297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com,Verified,2,,Configured,[Cloud Platform],[Cloud Platform : [https://www.googleapis.com/auth/cloud-platform]],Third party
Wayground (formerly Quizizz),Unknown Application Type,58172892053-faol054co4k3tsmtbtuk41v4si41slq0.apps.googleusercontent.com,Verified,2,,Not configured,[Drive],"[Drive : [https://www.googleapis.com/auth/drive.file, https://www.googleapis.com/auth/drive.readonly]]",Third party
Collaborative Whiteboard,Web Application,657959631782-gig0qdc3vaieq93qtv1mubvj0c4mjdfl.apps.googleusercontent.com,Verified,2,,Not configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Collaborative Whiteboard,Web Application,657959631782-i9cm367mk2m810gc99sp2lsie03vo4u3.apps.googleusercontent.com,Verified,2,,Not configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Apple Business Manager,Web Application,821073268825-uj405qcuu2pbpq5ab05rsupc98ldq2ou.apps.googleusercontent.com,Verified,2,,Configured,"[GSuite Admin, Google Sign-in]","[GSuite Admin : [https://www.googleapis.com/auth/admin.directory.domain.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly, https://www.googleapis.com/auth/admin.reports.audit.readonly] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Lusha,Web Application,86031167857-hapr09njcucvm0jv3hbpd7p0t75qjnm5.apps.googleusercontent.com,Not verified,2,,Not configured,[Google Sign-in],"[Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
Google Chat for Workspace Studio,Web Application,873507009103-gi4ff8nkju6ggaurt6ebbiqrfmr0c79j.apps.googleusercontent.com,Verified,2,,Not configured,[],[],Google owned
Google Skills,Web Application,1023251155897-tb54g624q9e77gtsrnemgv4c2ihekurv.apps.googleusercontent.com,Verified,1,,Not configured,[],[],Google owned
