App Name,Type,Id,Verification Status,Users,Org Unit,Access,Scopes for Specific Google Data,Requested Services,Requested Services with Scopes,Ownership
GAM7-demo,Web Application,72867247940-n969jo6c29qg22m8sodb2hftn6dck1mk.apps.googleusercontent.com,Not verified,1,/,Blocked,[],"[Calendar, Classroom, Contacts, GSuite Admin, Google Sign-in, Other, Vault]","[Calendar : [https://www.googleapis.com/auth/calendar] | Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.courseworkmaterials, https://www.googleapis.com/auth/classroom.guardianlinks.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.profile.photos, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.topics] | Contacts : [https://www.googleapis.com/auth/contacts, https://www.googleapis.com/auth/directory.readonly] | GSuite Admin : [https://www.googleapis.com/auth/admin.chrome.printers, https://www.googleapis.com/auth/admin.contact.delegation, https://www.googleapis.com/auth/admin.datatransfer, https://www.googleapis.com/auth/admin.directory.customer, https://www.googleapis.com/auth/admin.directory.device.chromebrowsers, https://www.googleapis.com/auth/admin.directory.device.chromeos, https://www.googleapis.com/auth/admin.directory.device.mobile, https://www.googleapis.com/auth/admin.directory.domain, https://www.googleapis.com/auth/admin.directory.group, https://www.googleapis.com/auth/admin.directory.orgunit, https://www.googleapis.com/auth/admin.directory.resource.calendar, https://www.googleapis.com/auth/admin.directory.rolemanagement, https://www.googleapis.com/auth/admin.directory.user, https://www.googleapis.com/auth/admin.directory.user.security, https://www.googleapis.com/auth/admin.directory.userschema, https://www.googleapis.com/auth/admin.reports.audit.readonly, https://www.googleapis.com/auth/admin.reports.usage.readonly, https://www.googleapis.com/auth/apps.groups.migration, https://www.googleapis.com/auth/apps.groups.settings, https://www.googleapis.com/auth/apps.licensing, https://www.googleapis.com/auth/cloud-identity.groups, https://www.googleapis.com/auth/cloud-identity.inboundsso, https://www.googleapis.com/auth/cloud-identity.orgunits, https://www.googleapis.com/auth/cloud-identity.policies.readonly, https://www.googleapis.com/auth/cloud-identity.userinvitations] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/chrome.management.appdetails.readonly, https://www.googleapis.com/auth/chrome.management.policy, https://www.googleapis.com/auth/chrome.management.profiles, https://www.googleapis.com/auth/chrome.management.reports.readonly, https://www.googleapis.com/auth/chrome.management.telemetry.readonly] | Vault : [https://www.googleapis.com/auth/ediscovery]]",Internal
OrbitNote,Web Application,243341882805-sqhe1f8jq8t8i5ha4nqbv50gk0iteup7.apps.googleusercontent.com,Verified,0,/,Specific Google data,"[openid, https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile]",[],[],Third party
MyLogin,Web Application,188883250313-8nmnraov1542echfae84q33gmdi5k54g.apps.googleusercontent.com,Verified,1,/,Trusted,[],"[GSuite Admin, Google Sign-in]","[GSuite Admin : [https://www.googleapis.com/auth/admin.directory.domain.readonly, https://www.googleapis.com/auth/admin.directory.orgunit.readonly, https://www.googleapis.com/auth/admin.directory.user.readonly] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid]]",Third party
GAM,Web Application,458969862783-1smfdj4v8qbnibgarka1a99400lhsa13.apps.googleusercontent.com,Not verified,1,/,Trusted,[],"[Calendar, Classroom, Contacts, GSuite Admin, Google Sign-in, Other, Vault]","[Calendar : [https://www.googleapis.com/auth/calendar] | Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.courseworkmaterials, https://www.googleapis.com/auth/classroom.guardianlinks.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.profile.photos, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.topics] | Contacts : [https://www.googleapis.com/auth/contacts, https://www.googleapis.com/auth/directory.readonly] | GSuite Admin : [https://www.googleapis.com/auth/admin.chrome.printers, https://www.googleapis.com/auth/admin.contact.delegation, https://www.googleapis.com/auth/admin.datatransfer, https://www.googleapis.com/auth/admin.directory.customer, https://www.googleapis.com/auth/admin.directory.device.chromebrowsers, https://www.googleapis.com/auth/admin.directory.device.chromeos, https://www.googleapis.com/auth/admin.directory.device.mobile, https://www.googleapis.com/auth/admin.directory.domain, https://www.googleapis.com/auth/admin.directory.group, https://www.googleapis.com/auth/admin.directory.orgunit, https://www.googleapis.com/auth/admin.directory.resource.calendar, https://www.googleapis.com/auth/admin.directory.rolemanagement, https://www.googleapis.com/auth/admin.directory.user, https://www.googleapis.com/auth/admin.directory.user.security, https://www.googleapis.com/auth/admin.directory.userschema, https://www.googleapis.com/auth/admin.reports.audit.readonly, https://www.googleapis.com/auth/admin.reports.usage.readonly, https://www.googleapis.com/auth/apps.groups.migration, https://www.googleapis.com/auth/apps.groups.settings, https://www.googleapis.com/auth/apps.licensing, https://www.googleapis.com/auth/cloud-identity.groups, https://www.googleapis.com/auth/cloud-identity.inboundsso, https://www.googleapis.com/auth/cloud-identity.orgunits, https://www.googleapis.com/auth/cloud-identity.policies.readonly, https://www.googleapis.com/auth/cloud-identity.userinvitations] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/chrome.management.appdetails.readonly, https://www.googleapis.com/auth/chrome.management.policy, https://www.googleapis.com/auth/chrome.management.profiles, https://www.googleapis.com/auth/chrome.management.reports.readonly, https://www.googleapis.com/auth/chrome.management.telemetry.readonly] | Vault : [https://www.googleapis.com/auth/ediscovery]]",Internal
GAM Project Creation,Web Application,297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com,Verified,2,/,Trusted,[],[Cloud Platform],[Cloud Platform : [https://www.googleapis.com/auth/cloud-platform]],Third party
GAM Project Creation,Web Application,297408095146-fug707qsjv4ikron0hugpevbrjhkmsk7.apps.googleusercontent.com,Verified,2,/Jacaranda Academy,Trusted,[],[Cloud Platform],[Cloud Platform : [https://www.googleapis.com/auth/cloud-platform]],Third party
GAM7-CGP-Training,Web Application,521549528509-f17hlgjd91nbi5sooc73ia3d4dqln10s.apps.googleusercontent.com,Not verified,1,/,Trusted,[],"[Calendar, Classroom, Contacts, GSuite Admin, Google Sign-in, Other, Vault]","[Calendar : [https://www.googleapis.com/auth/calendar] | Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.courseworkmaterials, https://www.googleapis.com/auth/classroom.guardianlinks.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.profile.photos, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.topics] | Contacts : [https://www.googleapis.com/auth/contacts, https://www.googleapis.com/auth/directory.readonly] | GSuite Admin : [https://www.googleapis.com/auth/admin.chrome.printers, https://www.googleapis.com/auth/admin.contact.delegation, https://www.googleapis.com/auth/admin.datatransfer, https://www.googleapis.com/auth/admin.directory.customer, https://www.googleapis.com/auth/admin.directory.device.chromebrowsers, https://www.googleapis.com/auth/admin.directory.device.chromeos, https://www.googleapis.com/auth/admin.directory.device.mobile, https://www.googleapis.com/auth/admin.directory.domain, https://www.googleapis.com/auth/admin.directory.group, https://www.googleapis.com/auth/admin.directory.orgunit, https://www.googleapis.com/auth/admin.directory.resource.calendar, https://www.googleapis.com/auth/admin.directory.rolemanagement, https://www.googleapis.com/auth/admin.directory.user, https://www.googleapis.com/auth/admin.directory.user.security, https://www.googleapis.com/auth/admin.directory.userschema, https://www.googleapis.com/auth/admin.reports.audit.readonly, https://www.googleapis.com/auth/admin.reports.usage.readonly, https://www.googleapis.com/auth/apps.groups.migration, https://www.googleapis.com/auth/apps.groups.settings, https://www.googleapis.com/auth/apps.licensing, https://www.googleapis.com/auth/cloud-identity.groups, https://www.googleapis.com/auth/cloud-identity.inboundsso, https://www.googleapis.com/auth/cloud-identity.orgunits, https://www.googleapis.com/auth/cloud-identity.policies.readonly, https://www.googleapis.com/auth/cloud-identity.userinvitations] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/chrome.management.appdetails.readonly, https://www.googleapis.com/auth/chrome.management.policy, https://www.googleapis.com/auth/chrome.management.profiles, https://www.googleapis.com/auth/chrome.management.reports.readonly, https://www.googleapis.com/auth/chrome.management.telemetry.readonly] | Vault : [https://www.googleapis.com/auth/ediscovery]]",Internal
GAM,Web Application,585538275436-4lk6emnir2l22atsdk61fstd4nhkgbku.apps.googleusercontent.com,Not verified,1,/Jacaranda Academy,Trusted,[],"[Calendar, Classroom, Contacts, GSuite Admin, Google Sign-in, Other, Vault]","[Calendar : [https://www.googleapis.com/auth/calendar] | Classroom : [https://www.googleapis.com/auth/classroom.announcements, https://www.googleapis.com/auth/classroom.courses, https://www.googleapis.com/auth/classroom.coursework.students, https://www.googleapis.com/auth/classroom.courseworkmaterials, https://www.googleapis.com/auth/classroom.guardianlinks.students, https://www.googleapis.com/auth/classroom.profile.emails, https://www.googleapis.com/auth/classroom.profile.photos, https://www.googleapis.com/auth/classroom.rosters, https://www.googleapis.com/auth/classroom.topics] | Contacts : [https://www.googleapis.com/auth/contacts, https://www.googleapis.com/auth/directory.readonly] | GSuite Admin : [https://www.googleapis.com/auth/admin.chrome.printers, https://www.googleapis.com/auth/admin.contact.delegation, https://www.googleapis.com/auth/admin.datatransfer, https://www.googleapis.com/auth/admin.directory.customer, https://www.googleapis.com/auth/admin.directory.device.chromebrowsers, https://www.googleapis.com/auth/admin.directory.device.chromeos, https://www.googleapis.com/auth/admin.directory.device.mobile, https://www.googleapis.com/auth/admin.directory.domain, https://www.googleapis.com/auth/admin.directory.group, https://www.googleapis.com/auth/admin.directory.orgunit, https://www.googleapis.com/auth/admin.directory.resource.calendar, https://www.googleapis.com/auth/admin.directory.rolemanagement, https://www.googleapis.com/auth/admin.directory.user, https://www.googleapis.com/auth/admin.directory.user.security, https://www.googleapis.com/auth/admin.directory.userschema, https://www.googleapis.com/auth/admin.reports.audit.readonly, https://www.googleapis.com/auth/admin.reports.usage.readonly, https://www.googleapis.com/auth/apps.groups.migration, https://www.googleapis.com/auth/apps.groups.settings, https://www.googleapis.com/auth/apps.licensing, https://www.googleapis.com/auth/cloud-identity.groups, https://www.googleapis.com/auth/cloud-identity.inboundsso, https://www.googleapis.com/auth/cloud-identity.orgunits, https://www.googleapis.com/auth/cloud-identity.policies, https://www.googleapis.com/auth/cloud-identity.userinvitations] | Google Sign-in : [https://www.googleapis.com/auth/userinfo.email, https://www.googleapis.com/auth/userinfo.profile, openid] | Other : [https://www.googleapis.com/auth/chrome.management.appdetails.readonly, https://www.googleapis.com/auth/chrome.management.policy, https://www.googleapis.com/auth/chrome.management.profiles, https://www.googleapis.com/auth/chrome.management.reports.readonly, https://www.googleapis.com/auth/chrome.management.telemetry.readonly] | Vault : [https://www.googleapis.com/auth/ediscovery]]",Internal
,Web Application,585538275436-5k5co106krror5jgc4f4dpjib0efeb7o.apps.googleusercontent.com,Not verified,0,/Jacaranda Academy,Trusted,[],[],[],Unknown
GA7-demo2,Web Application,696916210722-n0mvdqjq01ebg21eeaeraggm9vb0jbr6.apps.googleusercontent.com,Not verified,0,/,Trusted,[],[],[],Internal
